{'id': 1090, 'source_key': '04_主线原作台词/01_本地主线章节/主线剧情_最終編_第2章.txt', 'segment_index': 8, 'text': 'ニヤ 鼓掌。', 'extraction_run_id': 31}
{'id': 7935, 'source_key': '05_活动原作台词/01_常规活动/活动剧情_event_815.txt', 'segment_index': 16, 'text': 'シズコ闻言一惊。', 'extraction_run_id': 75}
{'id': 8046, 'source_key': '05_活动原作台词/01_常规活动/活动剧情_event_816.txt', 'segment_index': 33, 'text': '和纱想掩盖过去。', 'extraction_run_id': 76}
{'id': 8064, 'source_key': '05_活动原作台词/01_常规活动/活动剧情_event_816.txt', 'segment_index': 38, 'text': '卡祖萨沉默不语。', 'extraction_run_id': 76}
{'id': 8117, 'source_key': '05_活动原作台词/01_常规活动/活动剧情_event_816.txt', 'segment_index': 61, 'text': '爱理笑了。', 'extraction_run_id': 76}
{'id': 8118, 'source_key': '05_活动原作台词/01_常规活动/活动剧情_event_816.txt', 'segment_index': 61, 'text': '好美也笑了。', 'extraction_run_id': 76}
{'id': 8273, 'source_key': '05_活动原作台词/01_常规活动/活动剧情_event_818.txt', 'segment_index': 2, 'text': 'ユウカ追問。', 'extraction_run_id': 78}
{'id': 8347, 'source_key': '05_活动原作台词/01_常规活动/活动剧情_event_818.txt', 'segment_index': 19, 'text': '桐乃很惊讶。', 'extraction_run_id': 78}
{'id': 8386, 'source_key': '05_活动原作台词/01_常规活动/活动剧情_event_818.txt', 'segment_index': 27, 'text': '玛丽安抚了优香。', 'extraction_run_id': 78}
{'id': 8569, 'source_key': '05_活动原作台词/01_常规活动/活动剧情_event_819.txt', 'segment_index': 25, 'text': 'ハスミ表示感谢。', 'extraction_run_id': 79}
{'id': 8574, 'source_key': '05_活动原作台词/01_常规活动/活动剧情_event_819.txt', 'segment_index': 26, 'text': '峰表示同意。', 'extraction_run_id': 79}
{'id': 8714, 'source_key': '05_活动原作台词/01_常规活动/活动剧情_event_825.txt', 'segment_index': 5, 'text': '时表示期待。', 'extraction_run_id': 81}
{'id': 8725, 'source_key': '05_活动原作台词/01_常规活动/活动剧情_event_825.txt', 'segment_index': 8, 'text': '柚子紧张地确认。', 'extraction_run_id': 81}
{'id': 8727, 'source_key': '05_活动原作台词/01_常规活动/活动剧情_event_825.txt', 'segment_index': 8, 'text': '桃困惑。', 'extraction_run_id': 81}
{'id': 8800, 'source_key': '05_活动原作台词/01_常规活动/活动剧情_event_825.txt', 'segment_index': 19, 'text': '先生鼓励大家。', 'extraction_run_id': 81}
{'id': 8815, 'source_key': '05_活动原作台词/01_常规活动/活动剧情_event_825.txt', 'segment_index': 22, 'text': '老师表示感谢。', 'extraction_run_id': 81}
{'id': 8890, 'source_key': '05_活动原作台词/01_常规活动/活动剧情_event_825.txt', 'segment_index': 42, 'text': '桃很高兴。', 'extraction_run_id': 81}
{'id': 8940, 'source_key': '05_活动原作台词/01_常规活动/活动剧情_event_826.txt', 'segment_index': 14, 'text': '老师说她很努力。', 'extraction_run_id': 82}
{'id': 9095, 'source_key': '05_活动原作台词/01_常规活动/活动剧情_event_827.txt', 'segment_index': 13, 'text': '美游也道了辛苦。', 'extraction_run_id': 86}
{'id': 9193, 'source_key': '05_活动原作台词/01_常规活动/活动剧情_event_828.txt', 'segment_index': 13, 'text': '花子叫了老师。', 'extraction_run_id': 87}
{'id': 9207, 'source_key': '05_活动原作台词/01_常规活动/活动剧情_event_828.txt', 'segment_index': 19, 'text': '老师沉默。', 'extraction_run_id': 87}
{'id': 9241, 'source_key': '05_活动原作台词/01_常规活动/活动剧情_event_828.txt', 'segment_index': 34, 'text': '忧确认了位置。', 'extraction_run_id': 87}
{'id': 9250, 'source_key': '05_活动原作台词/01_常规活动/活动剧情_event_828.txt', 'segment_index': 37, 'text': '日向请老师指挥。', 'extraction_run_id': 87}
{'id': 9480, 'source_key': '05_活动原作台词/01_常规活动/活动剧情_event_830.txt', 'segment_index': 19, 'text': '随后她陷入沉默。', 'extraction_run_id': 89}
{'id': 9514, 'source_key': '05_活动原作台词/01_常规活动/活动剧情_event_830.txt', 'segment_index': 29, 'text': '一花沉默后轻笑。', 'extraction_run_id': 89}
{'id': 9527, 'source_key': '05_活动原作台词/01_常规活动/活动剧情_event_830.txt', 'segment_index': 37, 'text': '一花明白了情况。', 'extraction_run_id': 89}
{'id': 9736, 'source_key': '05_活动原作台词/02_联动活动/活动剧情_event_831.txt', 'segment_index': 16, 'text': '艾米同意出发。', 'extraction_run_id': 92}
{'id': 9770, 'source_key': '05_活动原作台词/02_联动活动/活动剧情_event_831.txt', 'segment_index': 28, 'text': '歌原理解了情况。', 'extraction_run_id': 92}
{'id': 9848, 'source_key': '05_活动原作台词/02_联动活动/活动剧情_event_831.txt', 'segment_index': 51, 'text': '食蜂操祈告辞。', 'extraction_run_id': 92}
{'id': 9966, 'source_key': '05_活动原作台词/03_节日活动与角色短篇/活动剧情_event_810_角色巧克力短篇.txt', 'segment_index': 22, 'text': '老师惊恐地呼救。', 'extraction_run_id': 94}
{'id': 10089, 'source_key': '05_活动原作台词/03_节日活动与角色短篇/活动剧情_event_810_角色巧克力短篇.txt', 'segment_index': 70, 'text': '老师表示惭愧。', 'extraction_run_id': 94}
{'id': 10094, 'source_key': '05_活动原作台词/03_节日活动与角色短篇/活动剧情_event_810_角色巧克力短篇.txt', 'segment_index': 71, 'text': '老师张嘴吃了。', 'extraction_run_id': 94}
{'id': 10160, 'source_key': '05_活动原作台词/03_节日活动与角色短篇/活动剧情_event_810_角色巧克力短篇.txt', 'segment_index': 103, 'text': '！”。', 'extraction_run_id': 94}
{'id': 10180, 'source_key': '05_活动原作台词/03_节日活动与角色短篇/活动剧情_event_810_角色巧克力短篇.txt', 'segment_index': 119, 'text': '好美沉默着。', 'extraction_run_id': 94}
{'id': 10295, 'source_key': '05_活动原作台词/03_节日活动与角色短篇/活动剧情_event_810_角色巧克力短篇.txt', 'segment_index': 186, 'text': '老师表示期待。', 'extraction_run_id': 94}
{'id': 10347, 'source_key': '05_活动原作台词/03_节日活动与角色短篇/活动剧情_event_810_角色巧克力短篇.txt', 'segment_index': 206, 'text': '诺亚向老师要纸。', 'extraction_run_id': 94}
{'id': 10655, 'source_key': '06_好感原作台词/01_常规角色/好感剧情_アヤネ.txt', 'segment_index': 13, 'text': '绫音对老师说话。', 'extraction_run_id': 102}
{'id': 10656, 'source_key': '06_好感原作台词/01_常规角色/好感剧情_アヤネ.txt', 'segment_index': 14, 'text': '绫音回应了老师。', 'extraction_run_id': 102}
{'id': 10678, 'source_key': '06_好感原作台词/01_常规角色/好感剧情_アヤネ.txt', 'segment_index': 20, 'text': '绫音没有回应。', 'extraction_run_id': 102}
{'id': 10753, 'source_key': '06_好感原作台词/01_常规角色/好感剧情_アリス.txt', 'segment_index': 31, 'text': '爱丽丝沉默不语。', 'extraction_run_id': 103}
{'id': 10754, 'source_key': '06_好感原作台词/01_常规角色/好感剧情_アリス.txt', 'segment_index': 32, 'text': '爱丽丝在看猫。', 'extraction_run_id': 103}
{'id': 10770, 'source_key': '06_好感原作台词/01_常规角色/好感剧情_アリス.txt', 'segment_index': 39, 'text': '爱丽丝表示同意。', 'extraction_run_id': 103}
{'id': 10918, 'source_key': '06_好感原作台词/01_常规角色/好感剧情_イズナ.txt', 'segment_index': 14, 'text': '泉奈道歉了两次。', 'extraction_run_id': 106}
{'id': 10920, 'source_key': '06_好感原作台词/01_常规角色/好感剧情_イズナ.txt', 'segment_index': 14, 'text': '泉奈哼起了歌。', 'extraction_run_id': 106}
{'id': 10921, 'source_key': '06_好感原作台词/01_常规角色/好感剧情_イズナ.txt', 'segment_index': 14, 'text': '老师叫了泉奈。', 'extraction_run_id': 106}
{'id': 10989, 'source_key': '06_好感原作台词/01_常规角色/好感剧情_イズミ.txt', 'segment_index': 4, 'text': '泉感谢了对方。', 'extraction_run_id': 107}
{'id': 11010, 'source_key': '06_好感原作台词/01_常规角色/好感剧情_イズミ.txt', 'segment_index': 11, 'text': '老师提议先离开。', 'extraction_run_id': 107}
{'id': 11026, 'source_key': '06_好感原作台词/01_常规角色/好感剧情_イズミ.txt', 'segment_index': 16, 'text': '泉在吃猫粮。', 'extraction_run_id': 107}
{'id': 11046, 'source_key': '06_好感原作台词/01_常规角色/好感剧情_イチカ.txt', 'segment_index': 0, 'text': '一花叫老师过来。', 'extraction_run_id': 108}
{'id': 11079, 'source_key': '06_好感原作台词/01_常规角色/好感剧情_イロハ.txt', 'segment_index': 0, 'text': '伊吕波打了招呼。', 'extraction_run_id': 109}
{'id': 11218, 'source_key': '06_好感原作台词/01_常规角色/好感剧情_エイミ.txt', 'segment_index': 8, 'text': '艾米感谢老师。', 'extraction_run_id': 112}
{'id': 11239, 'source_key': '06_好感原作台词/01_常规角色/好感剧情_エイミ.txt', 'segment_index': 15, 'text': '艾米在思考。', 'extraction_run_id': 112}
{'id': 11413, 'source_key': '06_好感原作台词/01_常规角色/好感剧情_カヨコ.txt', 'segment_index': 10, 'text': '老师答应。', 'extraction_run_id': 117}
{'id': 11438, 'source_key': '06_好感原作台词/01_常规角色/好感剧情_カリン.txt', 'segment_index': 1, 'text': '老师停止了时间。', 'extraction_run_id': 118}
{'id': 11695, 'source_key': '06_好感原作台词/01_常规角色/好感剧情_コトリ.txt', 'segment_index': 24, 'text': '琴里对老师说话。', 'extraction_run_id': 124}
{'id': 11781, 'source_key': '06_好感原作台词/01_常规角色/好感剧情_コユキ.txt', 'segment_index': 18, 'text': '老师感谢小雪。', 'extraction_run_id': 126}
{'id': 11802, 'source_key': '06_好感原作台词/01_常规角色/好感剧情_サオリ.txt', 'segment_index': 1, 'text': '纱织予以否认。', 'extraction_run_id': 127}
{'id': 11859, 'source_key': '06_好感原作台词/01_常规角色/好感剧情_サクラコ.txt', 'segment_index': 0, 'text': '樱子没有说话。', 'extraction_run_id': 129}
{'id': 11861, 'source_key': '06_好感原作台词/01_常规角色/好感剧情_サクラコ.txt', 'segment_index': 1, 'text': '樱子感到惊讶。', 'extraction_run_id': 129}
{'id': 12194, 'source_key': '06_好感原作台词/01_常规角色/好感剧情_シロコ.txt', 'segment_index': 3, 'text': '白子注意到老师。', 'extraction_run_id': 135}
{'id': 12255, 'source_key': '06_好感原作台词/01_常规角色/好感剧情_シロコ.txt', 'segment_index': 31, 'text': '老师再次拒绝。', 'extraction_run_id': 135}
{'id': 12261, 'source_key': '06_好感原作台词/01_常规角色/好感剧情_シロコ.txt', 'segment_index': 32, 'text': '她感谢了老师。', 'extraction_run_id': 135}
{'id': 12317, 'source_key': '06_好感原作台词/01_常规角色/好感剧情_ジュンコ.txt', 'segment_index': 2, 'text': '老师提议叫增援。', 'extraction_run_id': 137}
{'id': 12392, 'source_key': '06_好感原作台词/01_常规角色/好感剧情_スズミ.txt', 'segment_index': 10, 'text': '铃美道歉。', 'extraction_run_id': 138}
{'id': 12451, 'source_key': '06_好感原作台词/01_常规角色/好感剧情_セナ.txt', 'segment_index': 8, 'text': '濑名提议出发。', 'extraction_run_id': 140}
{'id': 12459, 'source_key': '06_好感原作台词/01_常规角色/好感剧情_セナ.txt', 'segment_index': 14, 'text': '濑名没有说什么。', 'extraction_run_id': 140}
{'id': 12472, 'source_key': '06_好感原作台词/01_常规角色/好感剧情_セリカ.txt', 'segment_index': 1, 'text': '芹香喘着气离开。', 'extraction_run_id': 141}
{'id': 12475, 'source_key': '06_好感原作台词/01_常规角色/好感剧情_セリカ.txt', 'segment_index': 3, 'text': '老师回答辛苦了。', 'extraction_run_id': 141}
{'id': 12634, 'source_key': '06_好感原作台词/01_常规角色/好感剧情_チセ.txt', 'segment_index': 3, 'text': '老师也同意。', 'extraction_run_id': 144}
{'id': 12651, 'source_key': '06_好感原作台词/01_常规角色/好感剧情_チセ.txt', 'segment_index': 11, 'text': 'チセ凝视着老师。', 'extraction_run_id': 144}
{'id': 12654, 'source_key': '06_好感原作台词/01_常规角色/好感剧情_チセ.txt', 'segment_index': 11, 'text': '老师问味道如何。', 'extraction_run_id': 144}
{'id': 12655, 'source_key': '06_好感原作台词/01_常规角色/好感剧情_チセ.txt', 'segment_index': 11, 'text': 'チセ说好吃。', 'extraction_run_id': 144}
{'id': 12665, 'source_key': '06_好感原作台词/01_常规角色/好感剧情_チセ.txt', 'segment_index': 15, 'text': '我是千濑的经理！', 'extraction_run_id': 144}
